AALI|16575
ABBA|50
ABDA|7200
ABMM|2755
ACES|870
ACST|3000
ADES|1025
ADHI|2585
ADMF|3105
ADMG|88
ADRO|595
AGRO|92
AGRS|93
AHAP|178
AIMS|500
AISA|1050
AKKU|225
AKPI|930
AKRA|7650
AKSI|125
ALDO|720
ALKA|680
ALMI|199
ALTO|326
ALTO-W|350
AMAG|310
AMFG|6325
AMIN|125
AMRT|570
ANJT|1700
ANTM|365
APEX|3230
APIC|645
APII|262
APLI|63
APLN|324
APOL|58
ARGO|900
ARII|423
ARNA|560
ARTA|240
ARTI|151
ARTO|119
ASBI|450
ASDM|1190
ASGR|1745
ASII|6400
ASJT|175
ASMI|1270
ASMI-W|850
ASRI|352
ASRM|2300
ASSA|99
ATIC|575
ATPK|194
AUTO|1730
BABP|60
BABP-W|10
BACA|161
BACA-W|95
BACA-W2|65
BAJA|78
BALI|845
BALI-W|710
BAPA|50
BATA|870
BAYU|1025
BBCA|13025
BBHI|119
BBKP|535
BBLD|1125
BBMD|1545
BBNI|5125
BBNP|1860
BBRI|10675
BBRM|52
BBTN|1595
BBYB|205
BCAP|1590
BCAP-W|70
BCIC|50
BCIP|760
BDMN|3800
BEKS|67
BEST|264
BFIN|2700
BHIT|122
BIKA|1520
BIMA|355
BINA|300
BIPI|50
BIPP|84
BIPP-W|9
BIPP-W2|1
BIRD|5650
BISI|1360
BJBR|900
BJTM|413
BKDP|80
BKSL|58
BKSW|368
BLTA|196
BLTZ|5600
BMAS|460
BMRI|9400
BMSR|215
BMTR|775
BNBA|193
BNBR|50
BNGA|595
BNII|174
BNLI|620
BOLT|1040
BORN|50
BPFI|510
BPII|3450
BRAM|4680
BRAU|82
BRMS|50
BRNA|765
BRPT|324
BSDE|1695
BSIM|505
BSIM-W2|245
BSSR|1000
BSWD|3120
BTEK|1300
BTEL|50
BTON|475
BTPN|2255
BUDI|62
BUKK|630
BULL|85
BUMI|50
BUVA|610
BVIC|103
BVIC-W3|7
BWPT|227
BYAN|7750
CANI|264
CASS|1250
CEKA|650
CENT|140
CFIN|260
CINT|330
