AALI|18450
ABBA|50
ABDA|7075
ABMM|2600
ACES|760
ACST|3785
ADES|995
ADHI|2260
ADMF|3550
ADMG|92
ADRO|565
AGRO|96
AGRS|93
AHAP|160
AIMS|420
AISA|1505
AKKU|305
AKPI|800
AKRA|5925
AKSI|125
ALDO|695
ALKA|535
ALMI|209
ALTO|329
ALTO-W|270
AMAG|371
AMFG|6800
AMRT|545
ANJT|1610
ANTM|354
APEX|3330
APIC|635
APII|222
APLI|62
APLN|280
APOL|58
ARGO|900
ARII|400
ARNA|408
ARTA|258
ARTI|260
ASBI|440
ASDM|1195
ASGR|1800
ASII|6250
ASJT|173
ASMI|855
ASMI-W|500
ASRI|337
ASRM|2200
ASSA|110
ATIC|705
ATPK|194
AUTO|1620
BABP|69
BABP-W|14
BACA|160
BACA-W|147
BAJA|89
BALI|740
BALI-W|620
BAPA|50
BATA|980
BAYU|1000
BBCA|13475
BBHI|103
BBKP|680
BBLD|1110
BBMD|1560
BBNI|5150
BBNP|1860
BBRI|11050
BBRM|51
BBTN|1230
BBYB|133
BCAP|1445
BCAP-W|60
BCIC|50
BCIP|850
BDMN|2835
BEKS|81
BEST|373
BFIN|2750
BHIT|180
BIKA|2015
BIMA|380
BINA|290
BIPI|69
BIPP|89
BIPP-W|15
BIPP-W2|1
BIRD|7300
BISI|1365
BJBR|740
BJTM|424
BKDP|85
BKSL|68
BKSW|290
BLTA|196
BLTZ|4500
BMAS|360
BMRI|8700
BMSR|255
BMTR|815
BNBA|185
BNBR|50
BNGA|565
BNII|184
BNLI|1110
BOLT|1020
BORN|50
BPFI|600
BPII|2850
BRAM|4680
BRAU|82
BRMS|50
BRNA|690
BRPT|135
BSDE|1655
BSIM|450
BSIM-W|302
BSIM-W2|200
BSSR|1100
BSWD|3850
BTEK|1510
BTEL|50
BTON|430
BTPN|2670
BUDI|66
BUKK|720
BULL|74
BUMI|50
BUVA|585
BVIC|105
BVIC-W3|14
BWPT|173
BYAN|8300
CANI|264
CASS|1200
CEKA|700
CENT|149
CFIN|275
CINT|339
CITA|940
CKRA|50
CLPI|645
CMNP|1675
CMPP|130
CNKO|50
CNTB|5000
CNTX|14550
COWL|600
CPGT|50
CPIN|3125
CPRO|50
CSAP|370
CTBN|5225
CTRA|1260
CTRP|454
CTRS|2265
CTTH|54
DAJK|179
DART|480
DEFI|140
DEWA|50
DGIK|73
DILD|500
DKFT|397
DLTA|5500
DMAS|209
DNAR|115
DNET|1140
DOID|63
DPNS|388
DSFI|123
DSNG|605
DSSA|12100
DUTI|6500
DVLA|1425
DYAN|64
ECII|700
EKAD|415
ELSA|300
ELTY|50
EMDE|149
EMTK|10200
ENRG|50
EPMT|2055
ERAA|625
ERTX|830
ESSA|1930
ESTI|190
ETWA|83
EXCL|3695
FAST|1245
FASW|1150
FISH|1600
FMII|404
FORU|730
FPNI|86
FREN|50
FREN-W|6
GAMA|50
GDST|60
GDYR|2575
GEMA|328
GEMS|1400
GGRM|49400
GIAA|306
GJTL|580
GLOB|625
GMCW|860
GMTD|7500
GOLD|260
GOLL|99
GOLL-W|10
GPRA|205
GREN|135
GSMF|106
GTBO|260
GWSA|99
GZCO|78
HADE|50
HDFA|219
HDTX|930
HERO|1260
HEXA|1600
HITS|730
HMSP|96800
HOME|200
HOTL|135
HOTL-W|13
HRUM|780
IATA|50
IBFN|180
IBST|2100
ICBP|12650
ICON|479
IGAR|249
IIKP|1195
IKAI|102
IKBI|1040
IMAS|2605
IMJS|440
IMPC|9075
INAF|185
INAI|359
INCI|300
INCO|1645
INDF|5350
INDR|705
INDS|349
INDX|141
INDY|145
INKP|985
INPC|66
INPP|365
INRU|280
INTA|256
INTD|380
INTP|19500
INVS|117
IPOL|70
ISAT|5400
ISSP|198
ITMA|13900
ITMG|7025
ITTG|82
JAWA|164
JECC|1350
JIHD|590
JKON|780
JKSW|66
JPFA|431
JPRS|135
JRPT|775
JSMR|4875
JSPT|750
JTPE|211
KAEF|990
KARW|189
KBLI|119
KBLM|125
KBLV|2000
KBRI|50
KDSI|223
KIAS|97
KICI|268
KIJA|215
KKGI|635
KLBF|1320
KOBX|140
KOIN|290
KONI|330
KOPI|745
KPIG|1335
KRAH|2270
KRAS|311
KREN|2325
LAMI|280
LAPD|50
LCGP|500
LEAD|160
LINK|3800
LION|1050
LMAS|50
LMPI|130
LMSH|580
LPCK|7825
LPGI|4900
LPIN|5525
LPKR|1300
LPLI|238
LPPF|16250
LPPS|114
LRNA|114
LRNA-W|22
LSIP|1315
LTLS|530
MAGP|50
MAGP-W|4
MAIN|1175
MAMI|50
MAMIP|600
MAPI|4250
MASA|230
MAYA|2140
MBAP|1120
MBSS|300
MBTO|144
MCOR|300
MCOR-W2|200
MDIA|3350
MDKA|2000
MDLN|485
MDRN|138
MEDC|1125
MEGA|3050
MERK|130000
META|85
MFIN|850
MFMI|264
MGNA|63
MGNA-W|37
MICE|376
MIDI|770
MIKA|2500
MIRA|50
MITI|124
MKNT|489
MKPI|16825
MLBI|8350
MLIA|680
MLPL|307
MLPT|1295
MMLP|850
MNCN|1740
MPMX|447
MPPA|1940
MRAT|204
MREI|5450
MSKY|1090
MTDL|665
MTFN|50
MTLA|208
MTSM|172
MYOH|530
MYOR|26425
MYRX|660
MYRXP|50
MYTX|50
NAGA|165
NELY|138
NIKL|50
NIPS|420
NIRO|102
NISP|1350
NOBU|610
NRCA|640
NRCA-W|15
OCAP|432
OKAS|78
OMRE|322
PADI|695
PALM|500
PANR|481
PANS|3410
PBRX|510
PDES|160
PEGE|205
PGAS|3010
PGLI|76
PICO|125
PJAA|2100
PKPK|50
PLAS|1530
PLIN|3930
