AALI|15850
ABBA|50
ABDA|7000
ABMM|2300
ACES|805
ACST|2920
ADES|1185
ADHI|2040
ADMF|6150
ADMG|141
ADRO|1605
AGII|1000
AGRO|400
AGRS|100
AHAP|189
AIMS|208
AISA|1880
AKKU|218
AKPI|855
AKRA|6525
AKSI|125
ALDO|610
ALKA|268
ALMI|183
ALTO|328
ALTO-W|350
AMAG|360
AMFG|6500
AMIN|254
AMRT|520
ANJT|2000
ANTM|885
APEX|2370
APIC|300
APIC-W|184
APII|362
APLI|110
APLN|256
APOL|58
ARGO|900
ARII|515
ARNA|510
ARTA|300
ARTI|50
ARTO|155
ASBI|340
ASDM|965
ASGR|1870
ASII|7625
ASJT|220
ASMI|446
ASMI-W|336
ASRI|380
ASRM|2200
ASSA|196
ATIC|670
ATPK|194
AUTO|2100
BABP|64
BABP-W|7
BABP-W2|35
BACA|190
BACA-W|80
BACA-W2|91
BAJA|288
BALI|885
BALI-W|800
BAPA|50
BATA|735
BAYU|920
BBCA|14375
BBHI|86
BBKP|615
BBLD|1000
BBMD|1570
BBNI|5125
BBNP|1910
BBRI|11125
BBRM|50
BBTN|1660
BBYB|274
BBYB-W|123
BCAP|1565
BCIC|50
BCIP|432
BDMN|3420
BEKS|56
BEST|266
BFIN|3200
BGTG|80
BHIT|140
BIKA|442
BIMA|125
BINA|218
BIPI|50
BIPP|87
BIPP-W|18
BIPP-W2|1
BIRD|2830
BISI|1755
BJBR|1420
BJTM|482
BKDP|68
BKSL|86
BKSW|380
BLTA|196
BLTZ|4150
BMAS|366
BMRI|10325
BMSR|135
BMTR|705
BNBA|193
BNBR|50
BNGA|855
BNII|336
BNLI|545
BOLT|690
BORN|50
BPFI|500
BPII|3550
BRAM|7500
BRAU|82
BRMS|74
BRNA|1040
BRPT|1570
BSDE|1780
BSIM|850
BSIM-W2|600
BSIM-W3|210
BSSR|1410
BSWD|1990
BTEK|880
BTEL|50
BTON|132
BTPN|2870
BUDI|83
BUKK|720
BULL|100
BUMI|288
BUVA|590
BVIC|97
BWPT|234
BYAN|6500
CANI|695
CASA|462
CASA-W|250
CASS|950
CEKA|1320
CENT|113
CFIN|244
CINT|318
CITA|940
CKRA|63
CLPI|940
CMNP|1500
CMPP|110
CNKO|50
CNTB|250
CNTX|875
COWL|1055
CPGT|50
CPIN|3070
CPRO|50
CSAP|480
CTBN|5300
CTRA|1480
CTRP|735
CTRS|3000
CTTH|74
DAJK|50
DART|460
DAYA|190
DEFI|905
DEWA|50
DGIK|53
DILD|525
DKFT|310
DLTA|5050
DMAS|220
DNAR|210
DNET|1180
DOID|470
DPNS|410
DPUM|755
DSFI|140
DSNG|400
DSSA|5500
DUTI|6000
DVLA|1605
DYAN|55
ECII|550
EKAD|570
ELSA|406
ELTY|50
EMDE|150
EMTK|8950
ENRG|50
EPMT|3240
ERAA|570
ERTX|165
ESSA|1210
ESTI|111
ETWA|85
EXCL|2280
FAST|1595
FASW|2910
FISH|2500
FMII|490
FORU|308
FPNI|119
FREN|55
GAMA|50
GDST|97
GDYR|2100
GEMA|436
GEMS|2240
GGRM|61600
GIAA|332
GJTL|1130
GLOB|456
GMCW|860
GMTD|6450
GOLD|500
GOLL|121
GOLL-W|13
GPRA|218
GREN|198
GSMF|113
GTBO|260
GWSA|145
GZCO|72
