AALI|6325
ABBA|50
ABDA|5500
ABMM|1525
ACES|1415
ACST|254
ADES|835
ADHI|530
ADMF|6450
ADMG|100
ADRO|950
AGAR|448
AGII|406
AGRO|121
AGRS|105
AHAP|50
AIMS|180
AISA|168
AKKU|50
AKPI|410
AKRA|2450
AKSI|137
ALDO|428
ALKA|428
ALMI|240
ALTO|394
AMAG|288
AMAN|191
AMAR|165
AMFG|3140
AMIN|400
AMOR|2100
AMRT|880
ANDI|50
ANJT|490
ANTM|500
APEX|132
APIC|745
APII|198
APLI|135
APLN|100
ARGO|825
ARII|650
ARKA|1395
ARMY|50
ARNA|400
ARTA|376
ARTI|50
ARTO|870
ASBI|266
ASDM|910
ASGR|685
ASII|3640
ASJT|113
ASMI|1110
ASPI|402
ASPI-W|43
ASRI|117
ASRM|1860
ASSA|348
ATIC|670
AUTO|765
AYLS|50
AYLS-W|6
BABP|50
BABP-W3|45
BABP-W4|6
BACA|418
BACA-W2|100
BAJA|53
BALI|900
BAPA|50
BAPI|50
BAPI-W|3
BATA|595
BAYU|935
BBCA|26775
BBHI|64
BBKP|139
BBLD|404
BBMD|1095
BBNI|3830
BBRI|2620
BBRM|50
BBSS|160
BBSS-W|5
BBTN|875
BBYB|220
BCAP|183
BCIC|450
BCIP|50
BDMN|2480
BEEF|199
BEEF-W|14
BEKS|50
BELL|700
BESS|246
BESS-W|28
BEST|109
BFIN|290
BGTG|50
BHAT|306
BHIT|50
BIKA|206
BIMA|50
BINA|1000
BIPI|50
BIPI-W|8
BIPP|50
BIPP-W2|1
BIRD|950
BISI|905
BJBR|770
BJTM|505
BKDP|50
BKSL|50
BKSW|65
BLTA|50
BLTZ|3250
BLUE|498
BMAS|252
BMRI|4160
BMSR|51
BMTR|204
BNBA|278
BNBR|50
BNGA|615
BNII|148
BNLI|1220
BOGA|1340
BOLA|138
BOLT|710
BOSS|77
BPFI|1185
BPII|10000
BPTR|83
BRAM|4920
BRIS|256
BRMS|50
BRNA|1000
BRPT|1285
BRPT-W|1150
BSDE|670
BSIM|476
BSIM-W3|14
BSSR|1390
BSWD|1750
BTEK|50
BTEL|50
BTON|151
BTPN|1830
BTPS|2290
BUDI|88
BUKK|975
BULL|189
BULL-W2|22
BUMI|50
BUVA|58
BVIC|59
BWPT|79
BYAN|14500
CAKK|50
CAKK-W|9
CAMP|194
CANI|206
CARE|326
CARS|50
CASA|388
CASA-W|135
CASH|464
CASH-W|47
CASS|462
CBMF|115
CCSI|250
CEKA|1520
CENT|54
CFIN|177
CINT|276
CITA|1650
CITY|52
CITY-W|11
CKRA|76
CLAY|2220
CLEO|470
CLPI|695
CMNP|1450
CMPP|184
CNKO|50
CNTB|250
CNTX|260
COCO|830
COCO-W|170
COWL|50
CPIN|4290
CPRI|50
CPRI-W|19
CPRO|50
CSAP|338
CSIS|50
CSMI|177
CSRA|292
CTBN|2450
CTRA|520
CTTH|50
DADA|228
DADA-W|9
