AALI|18600
ABBA|50
ABDA|7000
ABMM|2825
ACES|700
ACST|3850
ADES|1020
ADHI|2120
ADMF|3930
ADMG|95
ADRO|640
AGRO|83
AGRS|117
AHAP|148
AIMS|420
AISA|1535
AKKU|305
AKPI|800
AKRA|5875
AKSI|125
ALDO|695
ALKA|421
ALMI|214
ALTO|330
ALTO-W|270
AMAG|350
AMFG|6450
AMRT|550
ANJT|1610
ANTM|505
APEX|3330
APIC|535
APII|230
APLI|82
APLN|309
APOL|58
ARGO|900
ARII|423
ARNA|492
ARTA|275
ARTI|239
ASBI|440
ASDM|1000
ASGR|1770
ASII|6400
ASJT|130
ASMI|875
ASMI-W|499
ASRI|396
ASRM|2100
ASSA|108
ATIC|690
ATPK|194
AUTO|1610
BABP|72
BABP-W|15
BACA|158
BACA-W|148
BAJA|102
BALI|715
BALI-W|555
BAPA|50
BATA|1065
BAYU|715
BBCA|12975
BBHI|116
BBKP|665
BBLD|1130
BBMD|1555
BBNI|5025
BBNP|2320
BBRI|10125
BBRM|64
BBTN|1160
BBYB|112
BCAP|1590
BCAP-W|1
BCIC|50
BCIP|850
BDMN|3035
BEKS|52
BEST|350
BFIN|2945
BHIT|234
BIKA|2005
BIMA|560
BINA|287
BIPI|79
BIPP|77
BIPP-W|10
BIPP-W2|1
BIRD|5975
BISI|1180
BJBR|670
BJTM|418
BKDP|75
BKSL|75
BKSW|321
BLTA|196
BLTZ|4700
BMAS|360
BMRI|8900
BMSR|230
BMTR|990
BNBA|172
BNBR|50
BNGA|580
BNII|154
BNLI|1150
BOLT|1055
BORN|50
BPFI|570
BPII|2000
BRAM|4200
BRAU|82
BRMS|50
BRNA|650
BRPT|135
BSDE|1650
BSIM|465
BSIM-W|310
BSIM-W2|235
BSSR|1110
BSWD|4335
BTEK|1415
BTEL|50
BTON|495
BTPN|2820
BUDI|71
BUKK|725
BULL|93
BUMI|68
BUVA|610
BVIC|100
BVIC-W3|6
BWPT|257
BYAN|8250
CANI|264
CASS|1190
CEKA|665
CENT|150
CFIN|270
CINT|335
CITA|940
CKRA|90
CLPI|595
CMNP|1605
CMPP|105
CNKO|51
CNTB|5000
CNTX|15000
COWL|600
CPGT|50
CPIN|2465
CPRO|50
CSAP|346
CTBN|5200
CTRA|950
CTRP|389
CTRS|2100
CTTH|55
DAJK|265
DART|500
DEFI|1405
DEWA|50
DGIK|80
DILD|580
DKFT|397
DLTA|244450
DMAS|216
DNAR|117
DNET|1000
DOID|70
DPNS|385
DSFI|139
DSNG|3300
DSSA|12900
DUTI|6300
DVLA|1405
DYAN|67
ECII|1045
EKAD|385
ELSA|375
ELTY|50
EMDE|172
EMTK|11000
ENRG|51
EPMT|1900
ERAA|645
ERTX|850
ESSA|1900
ESTI|200
ETWA|77
EXCL|3450
FAST|1270
FASW|1195
FISH|1600
FMII|385
FORU|715
FPNI|85
FREN|52
FREN-W|8
GAMA|50
GDST|60
GDYR|1620
GEMA|335
GEMS|1500
GGRM|42975
GIAA|310
GJTL|625
GLOB|1030
GMCW|860
GMTD|7750
GOLD|280
GOLL|99
GOLL-W|11
GPRA|233
GREN|131
GSMF|93
GTBO|260
GWSA|95
GZCO|94
HADE|50
HDFA|219
HDTX|950
HERO|1475
HEXA|1900
HITS|705
HMSP|87900
HOME|207
HOTL|136
HOTL-W|11
HRUM|930
IATA|50
IBFN|330
IBST|2375
ICBP|13200
ICON|479
IGAR|280
IIKP|700
IKAI|115
IKBI|1045
IMAS|3000
IMJS|440
IMPC|9175
INAF|135
INAI|358
INCI|315
INCO|2305
INDF|5900
INDR|860
INDS|344
INDX|243
INDY|208
INKP|815
INPC|67
INPP|369
INRU|280
INTA|249
INTD|380
INTP|18000
INVS|117
IPOL|75
ISAT|4005
ISSP|152
ITMA|13900
ITMG|10700
ITTG|82
JAWA|242
JECC|1500
JIHD|600
JKON|760
JKSW|74
JPFA|465
JPRS|139
JRPT|835
JSMR|5225
JSPT|750
JTPE|222
KAEF|820
KARW|320
KBLI|105
KBLM|130
KBLV|2100
KBRI|50
KDSI|231
KIAS|112
KICI|258
KIJA|195
KKGI|680
KLBF|1470
KOBX|147
KOIN|290
KONI|330
KOPI|810
KPIG|1450
KRAH|2235
KRAS|335
KREN|2570
LAMI|250
LAPD|50
LCGP|540
LEAD|184
LINK|4450
LION|1000
LMAS|50
LMPI|117
LMSH|560
LPCK|7950
LPGI|5250
LPIN|5500
LPKR|1235
LPLI|380
LPPF|15925
LPPS|135
LRNA|120
LRNA-W|24
LSIP|1380
LTLS|500
MAGP|50
MAGP-W|3
MAIN|1300
MAMI|50
MAMIP|600
MAPI|3100
MASA|228
MAYA|1460
MBAP|1120
MBSS|388
MBTO|142
MCOR|325
MCOR-W2|126
MDIA|2790
MDKA|1950
MDLN|470
MDRN|185
MEDC|1205
MEGA|3250
MERK|133000
META|139
MFIN|890
MFMI|260
MGNA|70
MGNA-W|40
MICE|401
MIDI|730
MIKA|28025
MIRA|50
MITI|124
MKPI|16800
MLBI|8775
MLIA|625
MLPL|370
MLPT|1540
MMLP|890
MNCN|1725
MPMX|535
MPPA|2290
MRAT|195
MREI|5000
MSKY|1450
MTDL|670
MTFN|50
MTLA|204
MTSM|293
MYOH|495
MYOR|26450
MYRX|700
MYRXP|50
MYTX|90
NAGA|129
NELY|140
NIKL|64
NIPS|393
NIRO|125
NISP|1225
NOBU|735
NRCA|705
NRCA-W|48
OCAP|432
OKAS|85
OMRE|322
PADI|685
PALM|490
PANR|481
PANS|3415
