AALI|23400
ABBA|57
ABDA|6525
ABMM|2925
ACES|750
ACST|4470
ADES|1370
ADHI|3800
ADMF|6875
ADMG|156
ADRO|990
AGRO|101
AGRS|133
AHAP|215
AIMS|425
AISA|2065
AKKU|305
AKPI|800
AKRA|4585
AKSI|125
ALDO|730
ALKA|900
ALMI|245
ALTO|340
ALTO-W|270
AMAG|237
AMFG|8400
AMRT|475
ANJT|1200
ANTM|1055
APEX|3325
APIC|540
APII|430
APLI|72
APLN|460
APOL|74
ARGO|1150
ARII|423
ARNA|990
ARTA|226
ARTI|98
ASBI|775
ASDM|1000
ASGR|1825
ASII|7625
ASJT|301
ASMI|625
ASMI-W|240
ASRI|605
ASRM|1245
ASSA|160
ATPK|195
AUTO|3775
BABP|78
BABP-W|21
BACA|109
BACA-W|22
BAEK|2000
BAJA|247
BALI|2000
BALI-W|1840
BAPA|50
BATA|1060
BAYU|985
BBCA|13500
BBKP|780
BBLD|755
BBMD|1600
BBNI|6425
BBNP|2310
BBRI|11750
BBRM|180
BBTN|1000
BBYB|111
BCAP|985
BCIC|50
BCIP|790
BDMN|4800
BEKS|71
BEST|725
BEST-W|451
BFIN|2800
BHIT|279
BIMA|700
BINA|280
BIPI|115
BIPP|90
BIPP-W|34
BIRD|10500
BISI|1060
BJBR|835
BJTM|535
BKDP|115
BKSL|114
BKSW|420
BLTA|196
BLTZ|2900
BMAS|390
BMRI|11350
BMSR|180
BMTR|1835
BNBA|165
BNBR|50
BNGA|825
BNII|202
BNLI|1550
BORN|50
BPFI|550
BPII|1400
BRAM|6125
BRAU|75
BRMS|265
BRNA|680
BRPT|303
BSDE|2090
BSIM|355
BSIM-W|190
BSIM-W2|116
BSSR|1590
BSWD|2565
BTEK|1210
BTEL|50
BTON|500
BTPN|4000
BUDI|101
BULL|50
BUMI|104
BUVA|530
BVIC|119
BVIC-W3|26
BWPT|347
BYAN|7050
CANI|264
CASS|1200
CEKA|1445
CENT|196
CFIN|429
CINT|352
CITA|940
CKRA|164
CLPI|795
CMNP|3200
CMPP|124
CNKO|112
CNTB|5000
CNTX|17475
COWL|625
CPGT|98
CPIN|3780
CPRO|118
CSAP|590
CTBN|5300
CTRA|1490
CTRP|830
CTRS|2950
CTTH|69
DAJK|760
DART|790
DEFI|1250
DEWA|50
DGIK|177
DILD|620
DKFT|397
DLTA|330000
DNAR|168
DNET|935
DOID|154
DPNS|345
DSFI|171
DSNG|4190
DSSA|12900
DUTI|5200
DVLA|1540
DYAN|113
ECII|1030
EKAD|530
ELSA|605
ELTY|50
EMDE|125
EMTK|9000
ENRG|105
EPMT|2995
ERAA|1190
ERTX|700
ESSA|2695
ESTI|200
ETWA|224
EXCL|4655
FAST|1625
FASW|1665
FISH|1750
FMII|447
FORU|705
FPNI|88
FREN|83
FREN-W|45
GAMA|50
GAMA-W|10
GDST|97
GDYR|16200
GEMA|339
GEMS|1945
GGRM|55700
GIAA|565
GJTL|1460
GLOB|1040
GMCW|860
GMTD|6500
GOLD|300
GOLL|202
GOLL-W|37
GPRA|258
GREN|183
GSMF|110
GTBO|300
GWSA|178
GZCO|114
HADE|50
HDFA|210
HDTX|600
HERO|2200
HEXA|3650
HITS|700
HMSP|66900
HOME|302
HOTL|141
HOTL-W|12
HRUM|1550
IATA|81
IBFN|310
IBST|3000
ICBP|14300
ICON|448
IGAR|319
IIKP|2345
IKAI|101
IKBI|1050
IMAS|3975
IMJS|464
IMPC|6275
INAF|279
INAI|365
INCI|230
INCO|3365
INDF|7450
INDR|830
INDS|1350
INDX|489
INDY|488
INKP|1060
INPC|79
INPP|269
INRU|1150
INTA|255
INTD|380
INTP|23150
INVS|110
INVS-W|85
IPOL|120
ISAT|3900
ISSP|178
ITMA|13900
ITMG|16650
ITTG|82
JAWA|364
JECC|2950
JIHD|985
JKON|1050
JKSW|99
JPFA|870
JPRS|241
JRPT|1200
JSMR|7125
JSPT|750
JTPE|352
KAEF|1300
KARW|560
KBLI|138
KBLM|152
KBLV|2150
KBRI|54
KDSI|370
KIAS|130
KICI|274
KIJA|305
KKGI|1000
KLBF|1825
KOBX|165
KOIN|430
KONI|330
KPIG|1340
KRAH|1080
KRAS|464
KREN|494
LAMI|294
LAPD|50
LCGP|570
LEAD|2205
LINK|4630
LION|10000
LMAS|50
LMPI|194
LMSH|5775
LPCK|11550
LPGI|4600
LPIN|6175
LPKR|1115
LPLI|635
LPPF|15600
LPPS|221
LRNA|186
LRNA-W|18
LSIP|1785
LTLS|850
MAGP|50
MAGP-W|8
MAIN|2125
MAMI|50
MAMIP|600
MAPI|5875
MASA|360
MAYA|1160
MBAP|1305
MBSS|825
MBTO|181
MCOR|222
MCOR-W|30
MCOR-W2|28
MDIA|3350
MDLN|520
MDRN|650
MEDC|3125
MEGA|2000
MERK|154000
META|192
MFIN|900
MFMI|268
MGNA|86
MGNA-W|56
MICE|351
MIDI|600
MIRA|51
MITI|165
MKPI|15300
MLBI|11800
MLIA|510
MLPL|815
MLPT|1005
MNCN|2930
MPMX|765
MPPA|3770
MRAT|281
MREI|3500
MSKY|1700
MTDL|640
MTFN|190
MTLA|446
MTSM|690
MYOH|425
MYOR|25375
MYRX|700
MYRXP|57
MYTX|110
NAGA|160
NELY|163
NIKL|128
NIPS|535
NIRO|228
NIRO-W|127
NISP|1350
NOBU|740
NRCA|1375
NRCA-W|350
OCAP|450
OKAS|106
OMRE|340
PADI|635
PALM|475
PANR|465
PANS|4900
PBRX|455
PDES|165
PEGE|201
PGAS|5200
PGLI|81
PICO|146
PJAA|2765
PKPK|71
PLAS|1530
PLIN|3750
PNBN|1045
PNBS|187
PNBS-W|72
PNIN|745
PNLF|262
PNSE|610
POLY|89
POOL|2995
PRAS|203
PSAB|600
PSDN|133
PSKT|875
PSKT-W|215
PTBA|11425
PTIS|945
PTPP|4120
PTRO|885
PTSN|85
PTSP|6250
PUDP|420
PWON|494
PYFA|138
R-ABFII|20870
R-LQ45X|933
RAJA|1650
RALS|830
RANC|374
RBMS|97
RDTX|5300
RELI|655
RICY|171
RIGS|255
RIMO|190
RMBA|500
RODA|463
ROTI|1365
RUIS|222
SAFE|98
SAME|2900
SCBD|2495
SCCO|3950
SCMA|3375
SCPI|29000
SDMU|505
SDPC|86
SDRA|1150
SGRO|1850
SHID|293
SIAP|405
SIDO|580
SILO|13475
SIMA|124
SIMP|690
SIPD|51
SKBM|900
SKLT|320
SKYB|420
SMAR|6800
SMBR|370
SMCB|1915
SMDM|136
SMDR|11650
SMGR|14675
SMMA|4000
SMMT|1790
SMRA|1670
SMRU|337
SMRU-W|204
SMSM|4800
SOBI|2250
SOCI|660
SONA|4100
SPMA|194
SQBB|10500
SQBI|315000
SQMI|1480
SRAJ|218
SRIL|162
SRSN|50
SRTG|4800
SSIA|1095
SSMS|1665
SSTM|101
STAR|50
STTP|2900
SUGI|414
SUGI-W|325
SULI|58
SUPR|7300
SUPR-W|3850
TALF|515
TARA|433
TARA-W|316
TAXI|1025
TBIG|9400
TBLA|685
TBMS|7000
TCID|18500
TELE|1030
TELE-W|700
TFCO|1045
TGKA|2500
TIFA|219
TINS|1150
TIRA|1500
TIRT|77
TKGA|1800
TKIM|835
TKIM-W|156
TLKM|2825
TMAS|2120
TMPI|465
TMPO|113
TOBA|880
TOTL|1120
TOTO|4150
TOWR|4095
TPIA|3000
TPMA|440
TRAM|115
TRIL|51
TRIM|67
TRIO|1565
TRIS|350
TRIS-W|47
TRST|385
TRUB|50
TRUS|421
TSPC|2630
TURI|695
ULTJ|3950
UNIC|1690
UNIT|357
UNSP|50
UNTR|17900
UNTX|3700
UNVR|36375
VICO|121
VICO-W|15
VIVA|430
VOKS|765
VRNA|95
WAPO|69
WEHA|249
WEHA-W|100
WICO|104
WIIM|550
WIKA|3815
WINS|670
WOMF|152
WSKT|1830
WTON|1410
XCID|99
XIIC|1004
XIIF|551
XIIT|472
XIJI|719
XISI|361
XISR|306
YPAS|500
YULE|87
ZBRA|131
