AALI|18550
ABBA|50
ABDA|7500
ABMM|2740
ACES|900
ACST|3195
ADES|1015
ADHI|2705
ADMF|3000
ADMG|88
ADRO|620
AGRO|95
AGRS|86
AHAP|198
AIMS|500
AISA|1130
AKKU|200
AKPI|930
AKRA|7675
AKSI|125
ALDO|730
ALKA|680
ALMI|195
ALTO|327
ALTO-W|350
AMAG|326
AMFG|6300
AMIN|118
AMRT|565
ANJT|1700
ANTM|363
APEX|3230
APIC|660
APII|262
APLI|69
APLN|331
APOL|58
ARGO|900
ARII|423
ARNA|560
ARTA|275
ARTI|153
ARTO|120
ASBI|474
ASDM|1190
ASGR|1675
ASII|7000
ASJT|184
ASMI|1260
ASMI-W|850
ASRI|372
ASRM|2300
ASSA|100
ATIC|570
ATPK|194
AUTO|1670
BABP|61
BABP-W|11
BACA|138
BACA-W|89
BACA-W2|105
BAJA|76
BALI|840
BALI-W|710
BAPA|50
BATA|910
BAYU|1025
BBCA|13400
BBHI|119
BBKP|575
BBLD|1250
BBMD|1545
BBNI|5475
BBNP|1860
BBRI|11950
BBRM|50
BBTN|1565
BBYB|197
BCAP|1630
BCAP-W|90
BCIC|50
BCIP|660
BDMN|4170
BEKS|66
BEST|272
BFIN|2700
BHIT|128
BIKA|1680
BIMA|355
BINA|300
BIPI|50
BIPP|84
BIPP-W|9
BIPP-W2|1
BIRD|5525
BISI|1285
BJBR|935
BJTM|414
BKDP|88
BKSL|63
BKSW|360
BLTA|196
BLTZ|5600
BMAS|460
BMRI|9700
BMSR|256
BMTR|795
BNBA|190
BNBR|50
BNGA|590
BNII|166
BNLI|675
BOLT|1055
BORN|50
BPFI|510
BPII|3450
BRAM|4680
BRAU|82
BRMS|50
BRNA|775
BRPT|303
BSDE|1800
BSIM|490
BSIM-W2|245
BSSR|975
BSWD|3150
BTEK|1210
BTEL|50
BTON|470
BTPN|2080
BUDI|60
BUKK|600
BULL|73
BUMI|50
BUVA|610
BVIC|103
BVIC-W3|7
BWPT|225
BYAN|8025
CANI|264
CASS|1250
CEKA|620
CENT|149
CFIN|254
CINT|331
CITA|940
CKRA|50
CLPI|635
CMNP|1950
CMPP|93
CNKO|50
CNTB|5000
CNTX|14550
COWL|600
CPGT|50
CPIN|3600
CPRO|50
CSAP|401
CTBN|5550
CTRA|1395
CTRP|405
CTRS|1965
CTTH|52
DAJK|124
DART|478
DEFI|140
DEWA|50
DGIK|50
DILD|485
DKFT|397
DLTA|4750
DMAS|219
DNAR|106
DNET|1125
DOID|72
DPNS|325
DPUM|1280
DSFI|119
DSNG|460
DSSA|12100
DUTI|6400
DVLA|1310
DYAN|64
ECII|700
EKAD|409
ELSA|225
ELTY|50
EMDE|146
EMTK|9900
ENRG|50
EPMT|3000
ERAA|540
ERTX|1060
ESSA|1550
ESTI|180
ETWA|71
EXCL|3940
FAST|1000
FASW|1000
FISH|1635
FMII|380
FORU|700
FPNI|104
FREN|50
GAMA|50
GDST|57
