20171019|APLI|Asiaplast Industries Tbk.|80|86|80|82|161600|13499600|68.334|0|83|120500|J|82|1700|B|3.85|2.26|1.06|0
20171019|APLN|Agung Podomoro Land Tbk.|258|264|256|258|26275900|6809860200|70.685|0|260|1091200|J|258|472100|B|3.85|2.26|1.06|0
20171019|APOL|Arpeni Pratama Ocean Line Tbk.|58|0|0|58|0|0|18.56|0|0|0|J|0|0|B|3.85|2.26|1.06|0
20171019|ARGO|Argo Pantes Tbk|825|0|0|825|0|0|20.729|0|0|0|J|825|50000|B|3.85|2.26|1.06|0
20171019|ARII|Atlas Resources Tbk.|720|730|730|730|5600|4088000|48.667|0|735|1400|J|730|10000|B|3.85|2.26|1.06|0
20171019|ARMY|Armidian Karyatama Tbk.|250|264|244|252|3311900|848813000|84|0|252|268000|J|250|149500|B|3.85|2.26|1.06|0
20171019|ARNA|Arwana Citramulia Tbk.|406|412|404|406|117200|47567600|2759.465|0|406|20400|J|404|65000|B|3.85|2.26|1.06|0
20171019|ARTA|Arthavest Tbk|478|470|360|380|6484400|2581386800|220.431|0|382|2000|J|380|17600|B|3.85|2.26|1.06|0
20171019|ARTI|Ratu Prabu Energi Tbk|50|50|50|50|1100|55000|12.252|0|50|135894900|J|0|0|B|3.85|2.26|1.06|0
20171019|ARTO|Bank Artos Indonesia Tbk.|167|165|158|165|11600|1836000|125|0|165|1800|J|158|2000|B|3.85|2.26|1.06|0
20171019|ASBI|Asuransi Bintang Tbk.|292|296|294|296|20900|6172600|224.703|0|296|1000|J|294|2800|B|3.85|2.26|1.06|0
20171019|ASDM|Asuransi Dayin Mitra Tbk.|1080|0|0|1080|0|0|319.008|0|1080|7100|J|920|500|B|3.85|2.26|1.06|0
20171019|ASGR|Astra Graphia Tbk.|1370|1370|1360|1360|18900|25736000|281.971|0|1365|9000|J|1355|2900|B|3.85|2.26|1.06|0
20171019|ASII|Astra International Tbk.|8050|8100|7925|7925|32412000|259171387500|5667.313|0|7950|20300|J|7925|2384000|B|3.85|2.26|1.06|8050
20171019|ASJT|Asuransi Jasa Tania Tbk.|680|660|565|565|69800|41132000|376.667|0|580|5900|J|565|1900|B|3.85|2.26|1.06|0
20171019|ASMI|Asuransi Kresna Mitra Tbk.|880|885|865|865|1244700|1088593000|1601.852|0|870|3100|J|865|45500|B|3.85|2.26|1.06|0
20171019|ASRI|Alam Sutera Realty Tbk.|378|382|374|374|14069500|5303803600|356.191|0|376|206000|J|374|2043100|B|3.85|2.26|1.06|0
20171019|ASRM|Asuransi Ramayana Tbk.|2400|0|0|2400|0|0|859.076|0|2450|199900|J|2000|100|B|3.85|2.26|1.06|0
20171019|ASSA|Adi Sarana Armada Tbk.|216|216|210|212|615700|130952200|54.359|0|212|4500|J|210|133500|B|3.85|2.26|1.06|0
20171019|ATIC|Anabatic Technologies Tbk.|745|0|0|745|0|0|106.429|0|740|4200|J|0|0|B|3.85|2.26|1.06|0
20171019|ATPK|Bara Jaya Internasional Tbk.|194|0|0|194|0|0|112.677|0|0|0|J|0|0|B|3.85|2.26|1.06|0
20171019|AUTO|Astra Otoparts Tbk.|2380|2400|2360|2370|65500|156589000|2143.439|0|2410|500|J|2360|1900|B|3.85|2.26|1.06|0
20171019|BABP|Bank MNC Internasional Tbk.|52|52|50|52|484000|24673200|59.684|0|52|1059000|J|50|11843800|B|3.85|2.26|1.06|0
20171019|BABP-W2|Waran Seri III Bank MNC Internasional Tb|14|0|0|14|0|0|1400|0|0|0|J|0|0|B|3.85|2.26|1.06|0
20171019|BACA|Bank Capital Indonesia Tbk.|193|0|0|193|0|0|142.294|0|193|126100|J|192|108600|B|3.85|2.26|1.06|0
20171019|BACA-W|Waran Seri II Bank Capital Indonesia Tbk|86|0|0|86|0|0|8600|0|0|0|J|89|400|B|3.85|2.26|1.06|0
20171019|BACA-W2|Waran Seri III Bank Capital Indonesia Tb|88|0|0|88|0|0|8800|0|0|0|J|0|0|B|3.85|2.26|1.06|0
20171019|BAJA|Saranacentral Bajatama Tbk.|195|194|190|194|102500|19660500|77.6|0|194|15400|J|193|14200|B|3.85|2.26|1.06|0
20171019|BALI|Bali Towerindo Sentra Tbk.|1275|1280|1260|1280|52900|67369500|1600|0|1280|8000|J|1270|300|B|3.85|2.26|1.06|0
20171019|BALI-W|Waran Seri I Bali Towerindo Sentra Tbk.|1100|0|0|1100|0|0|550000|0|0|0|J|500|1500|B|3.85|2.26|1.06|0
20171019|BAPA|Bekasi Asri Pemula Tbk.|100|101|99|99|123900|12318000|66|0|100|99800|J|99|119600|B|3.85|2.26|1.06|0
20171019|BATA|Sepatu Bata Tbk.|750|770|720|740|4500|3335000|9597.925|0|745|500|J|740|100|B|3.85|2.26|1.06|0
20171019|BAYU|Bayu Buana Tbk|1250|0|0|1250|0|0|154.186|0|1250|271300|J|1245|10000|B|3.85|2.26|1.06|0
20171019|BBCA|Bank Central Asia Tbk.|20200|20350|20150|20325|13727800|278574100000|11614.286|0|20350|22200|J|20325|1281500|B|3.85|2.26|1.06|20200
