20170116|ARTA|Arthavest Tbk|288|276|256|276|5100|1307600|160.102|0|272|2300|J|256|4000|B|0
20170116|ARTI|Ratu Prabu Energi Tbk|50|50|50|50|3176100|158805000|12.251|0|50|6|J|0|0|B|0
20170116|ARTO|Bank Artos Indonesia Tbk.|138|165|148|155|25000|3871400|117.424|0|155|2300|J|148|400|B|0
20170116|ASBI|Asuransi Bintang Tbk.|386|380|380|380|300|114000|288.469|0|370|2000|J|290|2000|B|0
20170116|ASDM|Asuransi Dayin Mitra Tbk.|985|985|985|985|100|98500|290.947|0|960|400|J|900|400|B|0
20170116|ASGR|Astra Graphia Tbk.|1790|1790|1700|1730|32200|56572500|358.683|0|1750|5200|J|1730|400|B|0
20170116|ASII|Astra International Tbk.|8000|8075|7975|7975|12032400|96348762500|5703.069|0|8025|180100|J|7975|1350600|B|8075
20170116|ASJT|Asuransi Jasa Tania Tbk.|177|177|175|176|1130000|198330000|117.333|0|187|560000|J|176|40000|B|0
20170116|ASMI|Asuransi Kresna Mitra Tbk.|470|474|460|460|2200000|1023043000|851.852|0|460|7700|J|458|41800|B|0
20170116|ASRI|Alam Sutera Realty Tbk.|374|378|364|374|27578700|10253453400|356.19|0|374|1347000|J|372|1668200|B|372
20170116|ASRM|Asuransi Ramayana Tbk.|2200|0|0|2200|0|0|787.486|0|2580|100|J|2000|100|B|0
20170116|ASSA|Adi Sarana Armada Tbk.|195|196|194|194|600500|116793000|49.744|0|195|79000|J|194|115800|B|0
20170116|ATIC|Anabatic Technologies Tbk.|685|680|680|680|100|68000|97.143|0|685|15000|J|680|1900|B|0
20170116|ATPK|Bara Jaya Internasional Tbk.|194|0|0|194|0|0|112.677|0|0|0|J|0|0|B|0
20170116|AUTO|Astra Otoparts Tbk.|2060|2060|2020|2020|6300|12912000|1826.897|0|2030|200|J|2010|1000|B|0
20170116|BABP|Bank MNC Internasional Tbk.|72|74|71|73|19694600|1433477100|83.787|0|74|1078000|J|73|4219600|B|0
20170116|BABP-W|Waran Seri II Bank MNC Internasional Tbk|6|7|6|6|6141700|37235300|600|0|7|8750600|J|6|4158300|B|0
20170116|BABP-W2|Waran Seri III Bank MNC Internasional Tb|110|0|0|110|0|0|11000|0|110|2000|J|22|5000|B|0
