1369,TARA,Sitara Propertindo Tbk.,
1368,TKIM-W,Waran Seri II Pabrik Kertas Tjiwi Kimia Tbk.,
1366,DNAR,Bank Dinar Indonesia Tbk.,
1365,MBAP,Mitrabara Adiperdana Tbk.,
1364,BPII,Batavia Prosperindo Internasional Tbk.,
1363,MGNA-W,Waran Seri I Magna Finance Tbk.,
1362,MGNA,Magna Finance Tbk.,
1358,CINT,Chitose Internasional Tbk.,
1356,PSKT-W,Waran Seri I Red Planet Indonesia Tbk.,
1354,LINK,Link Net Tbk.,
1353,DAJK,Dwi Aneka Jaya Kemasindo Tbk.,
1351,LRNA-W,Waran Seri I Eka Sari Lorena Transport Tbk.,
1350,LRNA,Eka Sari Lorena Transport Tbk.,
1348,MDIA,Intermedia Capital Tbk.,
1347,BLTZ,Graha Layar Prima Tbk.,
1345,WTON,Wijaya Karya Beton Tbk.,
1343,BALI-W,Waran Seri I Bali Towerindo Sentra Tbk.,
1342,BALI,Bali Towerindo Sentra Tbk.,
1341,XISI,Premier ETF SMinfra18,
1339,TALF,Tunas Alfin Tbk.,
1338,BINA,Bank Ina Perdana Tbk.,
1337,CANI,Capitol Nusantara Indonesia Tbk.,
1335,ASMI,Asuransi Kresna Mitra Tbk.,
1332,PNBS,Bank Panin Dubai Syariah Tbk.,
1327,SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,
1325,SSMS,Sawit Sumbermas Sarana Tbk.,
1324,LEAD,Logindo Samudramakmur Tbk.,
1323,IMJS,Indomobil Multi Jasa Tbk.,
1315,KRAH,Grand Kartech Tbk.,
1312,APII,Arita Prima Indonesia Tbk.,
1309,BACA-W,Waran Seri II Bank Capital Indonesia Tbk.,
1308,SILO,Siloam International Hospitals Tbk.,
1306,XCID,DIRE Ciptadana Properti Ritel Indonesia,
1301,BMAS,Bank Maspion Indonesia Tbk.,
1299,NAGA,Bank Mitraniaga Tbk.,
1298,CPGT,Citra Maharlika Nusantara Corpora Tbk.,
1297,BBMD,Bank Mestika Dharma Tbk.,
1294,VICO,Victoria Investama Tbk.,
1293,MLPT,Multipolar Technology Tbk.,
1291,ECII,Electronic City Indonesia Tbk.,
1290,SMBR,Semen Baturaja (Persero) Tbk.,
1288,NRCA,Nusa Raya Cipta Tbk.,
1287,SRTG,Saratoga Investama Sedaya Tbk.,
1286,ACST,Acset Indonusa Tbk.,
1283,SRIL,Sri Rejeki Isman Tbk.,
1282,DSNG,Dharma Satya Nusantara Tbk.,
1279,APEX,Apexindo Pratama Duta Tbk.,
1278,MPMX,Mitra Pinasthika Mustika Tbk.,
1277,NOBU,Bank Nationalnobu Tbk.,
1275,ANJT,Austindo Nusantara Jaya Tbk.,
1273,XIJI,Reksa Dana Syariah Premier ETF JII,
1272,XIIC,Reksa Dana Premier ETF Indonesia Consumer,
1270,DYAN,Dyandra Media International Tbk.,
1268,ISSP,Steel Pipe Industry of Indonesia Tbk.,
1267,TPMA,Trans Power Marine Tbk.,
1263,MAGP,Multi Agro Gemilang Plantation Tbk.,
1262,SAME,Sarana Meditama Metropolitan Tbk.,
1261,HOTL-W,Waran Seri I Saraswati Griya Lestari Tbk.,
1260,HOTL,Saraswati Griya Lestari Tbk.,
1259,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,
1254,WSKT,Waskita Karya (Persero) Tbk.,
1253,WIIM,Wismilak Inti Makmur Tbk.,
1249,BIPP-W,Waran Seri III Bhuwanatala Indah Permai Tbk.,
1245,ASSA,Adi Sarana Armada Tbk.,
1244,BSSR,Baramulti Suksessarana Tbk.,
1242,TAXI,Express Transindo Utama Tbk.,
1240,XIIT,Reksa Dana Premier ETF IDX30,
1239,NELY,Pelayaran Nelly Dwi Putri Tbk.,
1238,PALM,Provident Agro Tbk.,
1237,SKBM,Sekar Bumi Tbk.,
1234,NIRO,Nirvana Development Tbk.,
1233,IBST,Inti Bangun Sejahtera Tbk.,
1230,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,
1225,GAMA,Gading Development Tbk.,
1224,ALTO-W,Waran Seri I Tri Banyan Tirta Tbk.,
1223,GLOB,Global Teleshop Tbk.,
1222,ALTO,Tri Banyan Tirta Tbk.,
1221,MSKY,MNC Sky Vision Tbk.,
1220,TOBA,Toba Bara Sejahtra Tbk.,
1219,KOBX,Kobexindo Tractors Tbk.,
1213,TRIS-W,Waran Seri I Trisula International Tbk.,
1212,TRIS,Trisula International Tbk.,
1211,RANC,Supra Boga Lestari Tbk.,
1204,BEST,Bekasi Fajar Industrial Estate Tbk.,
1201,ESSA,Surya Esa Perkasa Tbk.,
1198,TELE,Tiphone Mobile Indonesia Tbk.,
1197,PADI,Minna Padi Investama Sekuritas Tbk.,
1193,GWSA,Greenwood Sejahtera Tbk.,
1192,BAJA,Saranacentral Bajatama Tbk.,
1190,ERAA,Erajaya Swasembada Tbk.,
1186,ABMM,ABM Investama Tbk.,
1185,CASS,Cardig Aero Services Tbk.,
1182,VIVA,Visi Media Asia Tbk.,
1181,GEMS,Golden Energy Mines Tbk.,
1178,ARII,Atlas Resources Tbk.,
1176,SUPR,Solusi Tunas Pratama Tbk.,
1175,SMRU,SMR Utama Tbk.,
1167,STAR,Star  Petrochem Tbk.,
1165,ALDO,Alkindo Naratama Tbk.,
1164,PTIS,Indo Straits Tbk.,
1163,SDMU,Sidomulyo Selaras Tbk.,
1159,TIFA,Tifa Finance Tbk.,
1154,MTLA,Metropolitan Land Tbk.,
1153,SIMP,Salim Ivomas Pratama Tbk.,
1152,JAWA,Jaya Agra Wattie Tbk.,
1150,BULL,Buana Listya Tama Tbk.,
1146,HDFA,Radana Bhaskara Finance Tbk.,
1144,SRAJ,Sejahteraraya Anugrahjaya Tbk.,
1143,MBSS,Mitrabahtera Segara Sejati Tbk.,
1140,GIAA,Garuda Indonesia (Persero) Tbk.,
1138,MBTO,Martina Berto Tbk.,
1137,EMDE,Megapolitan Developments Tbk.,
1130,MFMI,Multifiling Mitra Indonesia Tbk.,
1127,BSIM,Bank Sinarmas Tbk.,
1123,BRMS,Bumi Resources Minerals Tbk.,
1119,MIDI,Midi Utama Indonesia Tbk.,
1118,WINS,Wintermar Offshore Marine Tbk.,
1116,BORN,Borneo Lumbung Energi & Metal Tbk.,
1113,APLN,Agung Podomoro Land Tbk.,
1112,KRAS,Krakatau Steel (Persero) Tbk.,
1111,TBIG,Tower Bersama Infrastructure Tbk.,
1109,ICBP,Indofood CBP Sukses Makmur Tbk.,
1108,HRUM,Harum Energy Tbk.,
1107,BRAU,Berau Coal Energy Tbk.,
1100,BUVA,Bukit Uluwatu Villa Tbk.,
1096,GREN,Evergreen Invesco Tbk.,
1094,IPOL,Indopoly Swakarsa Industry Tbk.,
1093,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,
1091,SKYB,Skybee Tbk.,
1090,GOLD,Visi Telekomunikasi Infrastruktur Tbk.,
1088,ROTI,Nippon Indosari Corpindo Tbk.,
1075,TOWR,Sarana Menara Nusantara Tbk.,
1071,BIPI,Benakat Integra Tbk.,
1070,PTPP,PP (Persero) Tbk.,
1063,EMTK,Elang Mahkota Teknologi Tbk.,
1061,GDST,Gunawan Dianjaya Steel Tbk.,
1060,BBTN,Bank Tabungan Negara (Persero) Tbk.,
1059,NIKL,Pelat Timah Nusantara Tbk.,
1057,BCIP,Bumi Citra Permai Tbk.,
1055,DSSA,Dian Swastatika Sentosa Tbk,
1050,BWPT,Eagle High Plantations Tbk.,
1042,MKPI,Metropolitan Kentjana Tbk.,
1041,GTBO,Garda Tujuh Buana Tbk,
1039,INVS,Inovisi Infracom Tbk.,
1035,BPFI,Batavia Prosperindo Finance Tbk.,
1033,TRIO,Trikomsel Oke Tbk.,
