2017-10-06|AALI|Astra Agro Lestari Tbk.|15000
2017-10-06|ABBA|Mahaka Media Tbk.|50
2017-10-06|ACES|Ace Hardware Indonesia Tbk.|1260
2017-10-06|ACST|Acset Indonusa Tbk.|2900
2017-10-06|ADES|Akasha Wira International Tbk.|990
2017-10-06|ADHI|Adhi Karya (Persero) Tbk.|2000
2017-10-06|ADMF|Adira Dinamika Multi Finance Tbk.|6950
2017-10-06|ADMG|Polychem Indonesia Tbk|185
2017-10-06|ADRO|Adaro Energy Tbk.|1850
2017-10-06|AGII|Aneka Gas Industri Tbk.|600
2017-10-06|AGRO|Bank Rakyat Indonesia Agroniaga Tbk.|540
2017-10-06|AGRO-W|Waran Seri II Bank Rakyat Indonesia Agro|440
2017-10-06|AGRS|Bank Agris Tbk.|258
2017-10-06|AIMS|Akbar Indo Makmur Stimec Tbk|136
2017-10-06|AISA|Tiga Pilar Sejahtera Food Tbk.|915
2017-10-06|AKKU|Anugerah Kagum Karya Utama Tbk.|52
2017-10-06|AKPI|Argha Karya Prima Industry Tbk.|700
2017-10-06|AKRA|AKR Corporindo Tbk.|6975
2017-10-06|AKSI|Majapahit Inti Corpora Tbk.|980
2017-10-06|ALKA|Alakasa Industrindo Tbk|388
2017-10-06|ALMI|Alumindo Light Metal Industry Tbk.|238
2017-10-06|ALTO|Tri Banyan Tirta Tbk.|350
2017-10-06|AMIN|Ateliers Mecaniques D Indonesie Tbk.|320
2017-10-06|AMRT|Sumber Alfaria Trijaya Tbk.|690
2017-10-06|ANTM|Aneka Tambang (Persero) Tbk.|645
2017-10-06|APIC|Pacific Strategic Financial Tbk.|446
2017-10-06|APII|Arita Prima Indonesia Tbk.|300
2017-10-06|APLI|Asiaplast Industries Tbk.|87
2017-10-06|APLN|Agung Podomoro Land Tbk.|296
2017-10-06|ARII|Atlas Resources Tbk.|795
2017-10-06|ARMY|Armidian Karyatama Tbk.|304
2017-10-06|ARNA|Arwana Citramulia Tbk.|418
2017-10-06|ARTA|Arthavest Tbk|480
2017-10-06|ARTI|Ratu Prabu Energi Tbk|50
2017-10-06|ARTO|Bank Artos Indonesia Tbk.|165
2017-10-06|ASBI|Asuransi Bintang Tbk.|298
2017-10-06|ASGR|Astra Graphia Tbk.|1400
2017-10-06|ASII|Astra International Tbk.|8025
2017-10-06|ASJT|Asuransi Jasa Tania Tbk.|730
2017-10-06|ASMI|Asuransi Kresna Mitra Tbk.|895
2017-10-06|ASRI|Alam Sutera Realty Tbk.|390
2017-10-06|ASRM|Asuransi Ramayana Tbk.|2410
2017-10-06|ASSA|Adi Sarana Armada Tbk.|216
2017-10-06|ATIC|Anabatic Technologies Tbk.|725
2017-10-06|AUTO|Astra Otoparts Tbk.|2420
2017-10-06|BABP|Bank MNC Internasional Tbk.|50
2017-10-06|BACA|Bank Capital Indonesia Tbk.|196
2017-10-06|BAJA|Saranacentral Bajatama Tbk.|192
2017-10-06|BALI|Bali Towerindo Sentra Tbk.|1255
2017-10-06|BAPA|Bekasi Asri Pemula Tbk.|108
2017-10-06|BAYU|Bayu Buana Tbk|1250
2017-10-06|BBCA|Bank Central Asia Tbk.|20250
2017-10-06|BBHI|Bank Harda Internasional Tbk.|145
2017-10-06|BBKP|Bank Bukopin Tbk.|570
2017-10-06|BBLD|Buana Finance Tbk.|600
2017-10-06|BBNI|Bank Negara Indonesia (Persero) Tbk.|7550
2017-10-06|BBRI|Bank Rakyat Indonesia (Persero) Tbk.|15500
2017-10-06|BBTN|Bank Tabungan Negara (Persero) Tbk.|2960
2017-10-06|BBYB|Bank Yudha Bhakti Tbk.|310
2017-10-06|BCIP|Bumi Citra Permai Tbk.|129
2017-10-06|BDMN|Bank Danamon Indonesia Tbk.|5400
2017-10-06|BEKS|Bank Pembangunan Daerah Banten Tbk.|50
2017-10-06|BELL|Trisula Textile Industries Tbk.|175
2017-10-06|BEST|Bekasi Fajar Industrial Estate Tbk.|292
2017-10-06|BFIN|BFI Finance  Indonesia Tbk.|620
2017-10-06|BGTG|Bank Ganesha Tbk.|98
2017-10-06|BHIT|MNC Investama Tbk.|100
2017-10-06|BIKA|Binakarya Jaya Abadi Tbk.|322
2017-10-06|BIMA|Primarindo Asia Infrastructure Tbk.|94
2017-10-06|BINA|Bank Ina Perdana Tbk.|1030
2017-10-06|BIPI|Benakat Integra Tbk.|83
2017-10-06|BIPP|Bhuwanatala Indah Permai Tbk.|89
2017-10-06|BIPP-W|Waran Seri III Bhuwanatala Indah Permai|11
2017-10-06|BIRD|Blue Bird Tbk.|4830
2017-10-06|BISI|BISI International Tbk.|1495
2017-10-06|BJBR|Bank Pembangunan Daerah Jawa Barat dan B|2610
2017-10-06|BJTM|Bank Pembangunan Daerah Jawa Timur Tbk.|685
2017-10-06|BKSL|Sentul City Tbk.|146
2017-10-06|BKSL-W|Waran Seri I Sentul City Tbk.|68
2017-10-06|BKSW|Bank QNB Indonesia Tbk.|200
2017-10-06|BLTZ|Graha Layar Prima Tbk.|10600
2017-10-06|BMAS|Bank Maspion Indonesia Tbk.|350
2017-10-06|BMRI|Bank Mandiri (Persero) Tbk.|6600
2017-10-06|BMSR|Bintang Mitra Semestaraya Tbk|96
2017-10-06|BMTR|Global Mediacom Tbk.|570
2017-10-06|BNBA|Bank Bumi Arta Tbk.|236
2017-10-06|BNBR|Bakrie & Brothers Tbk|50
2017-10-06|BNGA|Bank CIMB Niaga Tbk.|1250
2017-10-06|BNII|Bank Maybank Indonesia Tbk.|292
2017-10-06|BNLI|Bank Permata Tbk.|710
2017-10-06|BOGA|Bintang Oto Global Tbk.|595
2017-10-06|BOLT|Garuda Metalindo Tbk.|1040
2017-10-06|BRMS|Bumi Resources Minerals Tbk.|59
2017-10-06|BRPT|Barito Pacific Tbk.|1990
2017-10-06|BSDE|Bumi Serpong Damai Tbk.|1830
2017-10-06|BSIM|Bank Sinarmas Tbk.|880
2017-10-06|BTEK|Bumi Teknokultura Unggul Tbk|164
2017-10-06|BTON|Betonjaya Manunggal Tbk.|114
2017-10-06|BTPN|Bank Tabungan Pensiunan Nasional Tbk.|2560
2017-10-06|BUDI|Budi Starch & Sweetener Tbk.|96
2017-10-06|BUKK|Bukaka Teknik Utama Tbk.|1150
