2017-06-14|AALI|Astra Agro Lestari Tbk.|14150
2017-06-14|ABBA|Mahaka Media Tbk.|50
2017-06-14|ABDA|Asuransi Bina Dana Arta Tbk.|6000
2017-06-14|ACES|Ace Hardware Indonesia Tbk.|1020
2017-06-14|ACST|Acset Indonusa Tbk.|3070
2017-06-14|ADES|Akasha Wira International Tbk.|1055
2017-06-14|ADHI|Adhi Karya (Persero) Tbk.|2210
2017-06-14|ADMF|Adira Dinamika Multi Finance Tbk.|6325
2017-06-14|ADMG|Polychem Indonesia Tbk|212
2017-06-14|ADRO|Adaro Energy Tbk.|1615
2017-06-14|AGII|Aneka Gas Industri Tbk.|915
2017-06-14|AGRO|Bank Rakyat Indonesia Agroniaga Tbk.|780
2017-06-14|AGRO-W|Waran Seri II Bank Rakyat Indonesia Agro|615
2017-06-14|AGRS|Bank Agris Tbk.|226
2017-06-14|AHAP|Asuransi Harta Aman Pratama Tbk.|190
2017-06-14|AIMS|Akbar Indo Makmur Stimec Tbk|125
2017-06-14|AISA|Tiga Pilar Sejahtera Food Tbk.|1740
2017-06-14|AKKU|Anugerah Kagum Karya Utama Tbk.|65
2017-06-14|AKRA|AKR Corporindo Tbk.|6450
2017-06-14|ALKA|Alakasa Industrindo Tbk|151
2017-06-14|ALMI|Alumindo Light Metal Industry Tbk.|196
2017-06-14|AMAG|Asuransi Multi Artha Guna Tbk.|410
2017-06-14|AMIN|Ateliers Mecaniques D Indonesie Tbk.|336
2017-06-14|AMRT|Sumber Alfaria Trijaya Tbk.|570
2017-06-14|ANJT|Austindo Nusantara Jaya Tbk.|1580
2017-06-14|ANTM|Aneka Tambang (Persero) Tbk.|730
2017-06-14|APEX|Apexindo Pratama Duta Tbk.|1780
2017-06-14|APIC|Pacific Strategic Financial Tbk.|416
2017-06-14|APII|Arita Prima Indonesia Tbk.|200
2017-06-14|APLI|Asiaplast Industries Tbk.|114
2017-06-14|APLN|Agung Podomoro Land Tbk.|190
2017-06-14|ARII|Atlas Resources Tbk.|470
2017-06-14|ARNA|Arwana Citramulia Tbk.|446
2017-06-14|ARTI|Ratu Prabu Energi Tbk|50
2017-06-14|ARTO|Bank Artos Indonesia Tbk.|190
2017-06-14|ASBI|Asuransi Bintang Tbk.|380
2017-06-14|ASDM|Asuransi Dayin Mitra Tbk.|1125
2017-06-14|ASGR|Astra Graphia Tbk.|1700
2017-06-14|ASII|Astra International Tbk.|8850
2017-06-14|ASJT|Asuransi Jasa Tania Tbk.|1040
2017-06-14|ASMI|Asuransi Kresna Mitra Tbk.|670
2017-06-14|ASRI|Alam Sutera Realty Tbk.|322
2017-06-14|ASSA|Adi Sarana Armada Tbk.|228
2017-06-14|ATIC|Anabatic Technologies Tbk.|705
2017-06-14|AUTO|Astra Otoparts Tbk.|2480
2017-06-14|BABP|Bank MNC Internasional Tbk.|60
2017-06-14|BABP-W|Waran Seri II Bank MNC Internasional Tbk|2
2017-06-14|BACA|Bank Capital Indonesia Tbk.|202
2017-06-14|BAJA|Saranacentral Bajatama Tbk.|240
2017-06-14|BALI|Bali Towerindo Sentra Tbk.|1385
2017-06-14|BAPA|Bekasi Asri Pemula Tbk.|135
2017-06-14|BATA|Sepatu Bata Tbk.|790
2017-06-14|BBCA|Bank Central Asia Tbk.|17700
2017-06-14|BBHI|Bank Harda Internasional Tbk.|324
2017-06-14|BBKP|Bank Bukopin Tbk.|630
2017-06-14|BBNI|Bank Negara Indonesia (Persero) Tbk.|6450
2017-06-14|BBRI|Bank Rakyat Indonesia (Persero) Tbk.|14500
2017-06-14|BBRM|Pelayaran Nasional Bina Buana Raya Tbk.|50
2017-06-14|BBTN|Bank Tabungan Negara (Persero) Tbk.|2690
2017-06-14|BBYB|Bank Yudha Bhakti Tbk.|346
2017-06-14|BCIP|Bumi Citra Permai Tbk.|161
2017-06-14|BDMN|Bank Danamon Indonesia Tbk.|5000
2017-06-14|BEKS|Bank Pembangunan Daerah Banten Tbk.|50
2017-06-14|BEST|Bekasi Fajar Industrial Estate Tbk.|328
2017-06-14|BFIN|BFI Finance  Indonesia Tbk.|515
2017-06-14|BGTG|Bank Ganesha Tbk.|152
2017-06-14|BHIT|MNC Investama Tbk.|122
2017-06-14|BIKA|Binakarya Jaya Abadi Tbk.|402
2017-06-14|BIMA|Primarindo Asia Infrastructure Tbk.|91
2017-06-14|BINA|Bank Ina Perdana Tbk.|1330
2017-06-14|BIPI|Benakat Integra Tbk.|83
2017-06-14|BIPP|Bhuwanatala Indah Permai Tbk.|93
2017-06-14|BIPP-W|Waran Seri III Bhuwanatala Indah Permai|10
2017-06-14|BIRD|Blue Bird Tbk.|4630
2017-06-14|BISI|BISI International Tbk.|1650
2017-06-14|BJBR|Bank Pembangunan Daerah Jawa Barat dan B|2180
2017-06-14|BJTM|Bank Pembangunan Daerah Jawa Timur Tbk.|665
2017-06-14|BKDP|Bukit Darmo Property Tbk|78
2017-06-14|BKSL|Sentul City Tbk.|72
2017-06-14|BKSL-W|Waran Seri I Sentul City Tbk.|29
2017-06-14|BLTZ|Graha Layar Prima Tbk.|10300
2017-06-14|BMRI|Bank Mandiri (Persero) Tbk.|12325
2017-06-14|BMSR|Bintang Mitra Semestaraya Tbk|129
2017-06-14|BMTR|Global Mediacom Tbk.|620
2017-06-14|BNBA|Bank Bumi Arta Tbk.|246
2017-06-14|BNGA|Bank CIMB Niaga Tbk.|1220
2017-06-14|BNII|Bank Maybank Indonesia Tbk.|312
2017-06-14|BNLI|Bank Permata Tbk.|670
2017-06-14|BOGA|Bintang Oto Global Tbk.|442
2017-06-14|BOGA-W|Waran Seri I Bintang Oto Global Tbk.|320
2017-06-14|BOLT|Garuda Metalindo Tbk.|1015
2017-06-14|BRMS|Bumi Resources Minerals Tbk.|69
2017-06-14|BRPT|Barito Pacific Tbk.|3240
2017-06-14|BSDE|Bumi Serpong Damai Tbk.|1800
2017-06-14|BSIM|Bank Sinarmas Tbk.|820
2017-06-14|BSSR|Baramulti Suksessarana Tbk.|1500
2017-06-14|BTEK|Bumi Teknokultura Unggul Tbk|865
2017-06-14|BTEL|Bakrie Telecom Tbk.|50
2017-06-14|BTON|Betonjaya Manunggal Tbk.|122
2017-06-14|BTPN|Bank Tabungan Pensiunan Nasional Tbk.|2500
2017-06-14|BUDI|Budi Starch & Sweetener Tbk.|98
2017-06-14|BULL|Buana Listya Tama Tbk.|139
2017-06-14|BULL-W|Waran Seri II Buana Listya Tama Tbk.|59
2017-06-14|BUMI|Bumi Resources Tbk.|334
2017-06-14|BUVA|Bukit Uluwatu Villa Tbk.|555
2017-06-14|BVIC|Bank Victoria International Tbk.|306
2017-06-14|BWPT|Eagle High Plantations Tbk.|258
2017-06-14|CANI|Capitol Nusantara Indonesia Tbk.|535
2017-06-14|CARS|Industri dan Perdagangan Bintraco Dharma|1605
2017-06-14|CASA|Capital Financial Indonesia Tbk.|430
2017-06-14|CEKA|Wilmar Cahaya Indonesia Tbk.|1555
2017-06-14|CENT|Centratama Telekomunikasi Indonesia Tbk.|111
2017-06-14|CFIN|Clipan Finance Indonesia Tbk.|296
2017-06-14|CINT|Chitose Internasional Tbk.|302
2017-06-14|CKRA|Cakra Mineral Tbk.|52
2017-06-14|CLEO|Sariguna Primatirta Tbk.|396
2017-06-14|CLPI|Colorpak Indonesia Tbk.|1140
2017-06-14|CMNP|Citra Marga Nusaphala Persada Tbk.|1365
2017-06-14|CMPP|Rimau Multi Putra Pratama Tbk.|120
2017-06-14|CNKO|Exploitasi Energi Indonesia Tbk.|50
2017-06-14|COWL|Cowell Development Tbk.|1230
