2017-05-02|AALI|Astra Agro Lestari Tbk.|14400
2017-05-02|ABBA|Mahaka Media Tbk.|50
2017-05-02|ACES|Ace Hardware Indonesia Tbk.|940
2017-05-02|ACST|Acset Indonusa Tbk.|3270
2017-05-02|ADES|Akasha Wira International Tbk.|1160
2017-05-02|ADHI|Adhi Karya (Persero) Tbk.|2260
2017-05-02|ADMF|Adira Dinamika Multi Finance Tbk.|6525
2017-05-02|ADMG|Polychem Indonesia Tbk|143
2017-05-02|ADRO|Adaro Energy Tbk.|1780
2017-05-02|AGII|Aneka Gas Industri Tbk.|1060
2017-05-02|AGRO|Bank Rakyat Indonesia Agroniaga Tbk.|805
2017-05-02|AGRO-W|Waran Seri II Bank Rakyat Indonesia Agro|665
2017-05-02|AGRS|Bank Agris Tbk.|210
2017-05-02|AISA|Tiga Pilar Sejahtera Food Tbk.|2240
2017-05-02|AKKU|Anugerah Kagum Karya Utama Tbk.|73
2017-05-02|AKRA|AKR Corporindo Tbk.|6800
2017-05-02|ALKA|Alakasa Industrindo Tbk|136
2017-05-02|ALMI|Alumindo Light Metal Industry Tbk.|195
2017-05-02|ALTO|Tri Banyan Tirta Tbk.|300
2017-05-02|AMAG|Asuransi Multi Artha Guna Tbk.|420
2017-05-02|AMFG|Asahimas Flat Glass Tbk.|6700
2017-05-02|AMIN|Ateliers Mecaniques D Indonesie Tbk.|328
2017-05-02|AMRT|Sumber Alfaria Trijaya Tbk.|560
2017-05-02|ANJT|Austindo Nusantara Jaya Tbk.|1725
2017-05-02|ANTM|Aneka Tambang (Persero) Tbk.|705
2017-05-02|APEX|Apexindo Pratama Duta Tbk.|1780
2017-05-02|APIC|Pacific Strategic Financial Tbk.|358
2017-05-02|APLI|Asiaplast Industries Tbk.|114
2017-05-02|APLN|Agung Podomoro Land Tbk.|210
2017-05-02|ARII|Atlas Resources Tbk.|382
2017-05-02|ARNA|Arwana Citramulia Tbk.|545
2017-05-02|ARTI|Ratu Prabu Energi Tbk|50
2017-05-02|ARTO|Bank Artos Indonesia Tbk.|165
2017-05-02|ASII|Astra International Tbk.|9000
2017-05-02|ASJT|Asuransi Jasa Tania Tbk.|950
2017-05-02|ASMI|Asuransi Kresna Mitra Tbk.|600
2017-05-02|ASRI|Alam Sutera Realty Tbk.|348
2017-05-02|ASSA|Adi Sarana Armada Tbk.|240
2017-05-02|ATIC|Anabatic Technologies Tbk.|705
2017-05-02|AUTO|Astra Otoparts Tbk.|2640
2017-05-02|BABP|Bank MNC Internasional Tbk.|67
2017-05-02|BABP-W|Waran Seri II Bank MNC Internasional Tbk|3
2017-05-02|BACA|Bank Capital Indonesia Tbk.|200
2017-05-02|BAJA|Saranacentral Bajatama Tbk.|250
2017-05-02|BALI|Bali Towerindo Sentra Tbk.|1360
2017-05-02|BAPA|Bekasi Asri Pemula Tbk.|134
2017-05-02|BATA|Sepatu Bata Tbk.|800
2017-05-02|BAYU|Bayu Buana Tbk|1000
2017-05-02|BBCA|Bank Central Asia Tbk.|17750
2017-05-02|BBHI|Bank Harda Internasional Tbk.|182
2017-05-02|BBKP|Bank Bukopin Tbk.|640
2017-05-02|BBLD|Buana Finance Tbk.|600
2017-05-02|BBNI|Bank Negara Indonesia (Persero) Tbk.|6425
2017-05-02|BBRI|Bank Rakyat Indonesia (Persero) Tbk.|13125
2017-05-02|BBRM|Pelayaran Nasional Bina Buana Raya Tbk.|50
2017-05-02|BBTN|Bank Tabungan Negara (Persero) Tbk.|2310
2017-05-02|BBYB|Bank Yudha Bhakti Tbk.|356
2017-05-02|BBYB-W|Waran Seri I Bank Yudha Bhakti Tbk.|214
2017-05-02|BCIP|Bumi Citra Permai Tbk.|171
2017-05-02|BDMN|Bank Danamon Indonesia Tbk.|4880
2017-05-02|BEKS|Bank Pembangunan Daerah Banten Tbk.|54
2017-05-02|BEST|Bekasi Fajar Industrial Estate Tbk.|296
2017-05-02|BFIN|BFI Finance  Indonesia Tbk.|5100
2017-05-02|BGTG|Bank Ganesha Tbk.|142
2017-05-02|BHIT|MNC Investama Tbk.|121
2017-05-02|BIKA|Binakarya Jaya Abadi Tbk.|410
2017-05-02|BIMA|Primarindo Asia Infrastructure Tbk.|99
2017-05-02|BINA|Bank Ina Perdana Tbk.|1360
2017-05-02|BIPI|Benakat Integra Tbk.|109
2017-05-02|BIPP|Bhuwanatala Indah Permai Tbk.|88
2017-05-02|BIPP-W|Waran Seri III Bhuwanatala Indah Permai|9
2017-05-02|BIRD|Blue Bird Tbk.|3920
2017-05-02|BISI|BISI International Tbk.|1840
2017-05-02|BJBR|Bank Pembangunan Daerah Jawa Barat dan B|2020
2017-05-02|BJTM|Bank Pembangunan Daerah Jawa Timur Tbk.|685
2017-05-02|BKDP|Bukit Darmo Property Tbk|71
2017-05-02|BKSL|Sentul City Tbk.|89
2017-05-02|BKSL-W|Waran Seri I Sentul City Tbk.|31
2017-05-02|BLTZ|Graha Layar Prima Tbk.|10000
2017-05-02|BMRI|Bank Mandiri (Persero) Tbk.|11700
2017-05-02|BMTR|Global Mediacom Tbk.|535
2017-05-02|BNBA|Bank Bumi Arta Tbk.|260
2017-05-02|BNBR|Bakrie & Brothers Tbk|50
2017-05-02|BNGA|Bank CIMB Niaga Tbk.|1270
