2017-05-18|AALI|Astra Agro Lestari Tbk.|14400
2017-05-18|ABBA|Mahaka Media Tbk.|51
2017-05-18|ABDA|Asuransi Bina Dana Arta Tbk.|6500
2017-05-18|ABMM|ABM Investama Tbk.|2300
2017-05-18|ACES|Ace Hardware Indonesia Tbk.|965
2017-05-18|ACST|Acset Indonusa Tbk.|3110
2017-05-18|ADES|Akasha Wira International Tbk.|1060
2017-05-18|ADHI|Adhi Karya (Persero) Tbk.|2190
2017-05-18|ADMF|Adira Dinamika Multi Finance Tbk.|6875
2017-05-18|ADMG|Polychem Indonesia Tbk|240
2017-05-18|ADRO|Adaro Energy Tbk.|1400
2017-05-18|AGII|Aneka Gas Industri Tbk.|960
2017-05-18|AGRO|Bank Rakyat Indonesia Agroniaga Tbk.|690
2017-05-18|AGRO-W|Waran Seri II Bank Rakyat Indonesia Agro|545
2017-05-18|AGRS|Bank Agris Tbk.|124
2017-05-18|AIMS|Akbar Indo Makmur Stimec Tbk|139
2017-05-18|AISA|Tiga Pilar Sejahtera Food Tbk.|2060
2017-05-18|AKKU|Anugerah Kagum Karya Utama Tbk.|54
2017-05-18|AKRA|AKR Corporindo Tbk.|6225
2017-05-18|ALTO|Tri Banyan Tirta Tbk.|320
2017-05-18|AMAG|Asuransi Multi Artha Guna Tbk.|406
2017-05-18|AMFG|Asahimas Flat Glass Tbk.|5900
2017-05-18|AMIN|Ateliers Mecaniques D Indonesie Tbk.|310
2017-05-18|AMRT|Sumber Alfaria Trijaya Tbk.|545
2017-05-18|ANJT|Austindo Nusantara Jaya Tbk.|1620
2017-05-18|ANTM|Aneka Tambang (Persero) Tbk.|690
2017-05-18|APEX|Apexindo Pratama Duta Tbk.|1780
2017-05-18|APIC|Pacific Strategic Financial Tbk.|352
2017-05-18|APLI|Asiaplast Industries Tbk.|105
2017-05-18|APLN|Agung Podomoro Land Tbk.|195
2017-05-18|ARII|Atlas Resources Tbk.|500
2017-05-18|ARNA|Arwana Citramulia Tbk.|460
2017-05-18|ARTI|Ratu Prabu Energi Tbk|50
2017-05-18|ARTO|Bank Artos Indonesia Tbk.|170
2017-05-18|ASBI|Asuransi Bintang Tbk.|360
2017-05-18|ASGR|Astra Graphia Tbk.|1720
2017-05-18|ASII|Astra International Tbk.|8350
2017-05-18|ASJT|Asuransi Jasa Tania Tbk.|1120
2017-05-18|ASMI|Asuransi Kresna Mitra Tbk.|660
2017-05-18|ASRI|Alam Sutera Realty Tbk.|320
2017-05-18|ASSA|Adi Sarana Armada Tbk.|260
2017-05-18|ATIC|Anabatic Technologies Tbk.|705
2017-05-18|AUTO|Astra Otoparts Tbk.|2400
2017-05-18|BABP|Bank MNC Internasional Tbk.|62
2017-05-18|BABP-W|Waran Seri II Bank MNC Internasional Tbk|2
2017-05-18|BACA|Bank Capital Indonesia Tbk.|197
2017-05-18|BAJA|Saranacentral Bajatama Tbk.|200
2017-05-18|BALI|Bali Towerindo Sentra Tbk.|1365
2017-05-18|BAPA|Bekasi Asri Pemula Tbk.|114
2017-05-18|BATA|Sepatu Bata Tbk.|825
2017-05-18|BBCA|Bank Central Asia Tbk.|16800
2017-05-18|BBHI|Bank Harda Internasional Tbk.|230
2017-05-18|BBKP|Bank Bukopin Tbk.|615
2017-05-18|BBLD|Buana Finance Tbk.|580
2017-05-18|BBMD|Bank Mestika Dharma Tbk.|1480
2017-05-18|BBNI|Bank Negara Indonesia (Persero) Tbk.|6400
2017-05-18|BBRI|Bank Rakyat Indonesia (Persero) Tbk.|13750
2017-05-18|BBRM|Pelayaran Nasional Bina Buana Raya Tbk.|50
2017-05-18|BBTN|Bank Tabungan Negara (Persero) Tbk.|2400
2017-05-18|BBYB|Bank Yudha Bhakti Tbk.|312
2017-05-18|BCAP|MNC Kapital Indonesia Tbk.|1580
2017-05-18|BCIP|Bumi Citra Permai Tbk.|148
2017-05-18|BDMN|Bank Danamon Indonesia Tbk.|4880
2017-05-18|BEKS|Bank Pembangunan Daerah Banten Tbk.|51
2017-05-18|BEST|Bekasi Fajar Industrial Estate Tbk.|282
2017-05-18|BFIN|BFI Finance  Indonesia Tbk.|4500
2017-05-18|BGTG|Bank Ganesha Tbk.|116
2017-05-18|BHIT|MNC Investama Tbk.|123
2017-05-18|BIKA|Binakarya Jaya Abadi Tbk.|408
2017-05-18|BINA|Bank Ina Perdana Tbk.|1330
2017-05-18|BIPI|Benakat Integra Tbk.|82
2017-05-18|BIPP|Bhuwanatala Indah Permai Tbk.|81
2017-05-18|BIPP-W|Waran Seri III Bhuwanatala Indah Permai|11
2017-05-18|BIRD|Blue Bird Tbk.|4080
2017-05-18|BISI|BISI International Tbk.|1670
2017-05-18|BJBR|Bank Pembangunan Daerah Jawa Barat dan B|1990
2017-05-18|BJTM|Bank Pembangunan Daerah Jawa Timur Tbk.|650
2017-05-18|BKDP|Bukit Darmo Property Tbk|74
2017-05-18|BKSL|Sentul City Tbk.|76
2017-05-18|BKSL-W|Waran Seri I Sentul City Tbk.|27
2017-05-18|BLTZ|Graha Layar Prima Tbk.|9800
2017-05-18|BMAS|Bank Maspion Indonesia Tbk.|400
2017-05-18|BMRI|Bank Mandiri (Persero) Tbk.|12000
2017-05-18|BMSR|Bintang Mitra Semestaraya Tbk|99
2017-05-18|BMTR|Global Mediacom Tbk.|630
2017-05-18|BNBA|Bank Bumi Arta Tbk.|246
2017-05-18|BNBR|Bakrie & Brothers Tbk|50
2017-05-18|BNGA|Bank CIMB Niaga Tbk.|1190
2017-05-18|BNII|Bank Maybank Indonesia Tbk.|312
2017-05-18|BNLI|Bank Permata Tbk.|585
2017-05-18|BOGA|Bintang Oto Global Tbk.|362
2017-05-18|BOLT|Garuda Metalindo Tbk.|1045
2017-05-18|BPII|Batavia Prosperindo Internasional Tbk.|3700
2017-05-18|BRMS|Bumi Resources Minerals Tbk.|65
2017-05-18|BRNA|Berlina Tbk.|1140
2017-05-18|BRPT|Barito Pacific Tbk.|3040
2017-05-18|BSDE|Bumi Serpong Damai Tbk.|1680
2017-05-18|BSIM|Bank Sinarmas Tbk.|845
2017-05-18|BSIM-W2|Waran Seri II Bank Sinarmas Tbk.|550
2017-05-18|BSIM-W3|Waran Seri III Bank Sinarmas Tbk.|200
2017-05-18|BSSR|Baramulti Suksessarana Tbk.|1300
2017-05-18|BTEK|Bumi Teknokultura Unggul Tbk|915
2017-05-18|BTON|Betonjaya Manunggal Tbk.|138
2017-05-18|BTPN|Bank Tabungan Pensiunan Nasional Tbk.|2520
2017-05-18|BUDI|Budi Starch & Sweetener Tbk.|96
2017-05-18|BUKK|Bukaka Teknik Utama Tbk.|720
2017-05-18|BULL|Buana Listya Tama Tbk.|129
2017-05-18|BULL-W|Waran Seri II Buana Listya Tama Tbk.|55
2017-05-18|BUMI|Bumi Resources Tbk.|348
2017-05-18|BVIC|Bank Victoria International Tbk.|270
2017-05-18|BWPT|Eagle High Plantations Tbk.|270
2017-05-18|CANI|Capitol Nusantara Indonesia Tbk.|450
2017-05-18|CARS|Industri dan Perdagangan Bintraco Dharma|1700
2017-05-18|CASA|Capital Financial Indonesia Tbk.|436
2017-05-18|CASS|Cardig Aero Services Tbk.|825
2017-05-18|CEKA|Wilmar Cahaya Indonesia Tbk.|1560
2017-05-18|CENT|Centratama Telekomunikasi Indonesia Tbk.|115
2017-05-18|CFIN|Clipan Finance Indonesia Tbk.|264
2017-05-18|CINT|Chitose Internasional Tbk.|316
2017-05-18|CKRA|Cakra Mineral Tbk.|51
2017-05-18|CLEO|Sariguna Primatirta Tbk.|372
2017-05-18|CLPI|Colorpak Indonesia Tbk.|1020
2017-05-18|CMNP|Citra Marga Nusaphala Persada Tbk.|1370
2017-05-18|CMPP|Rimau Multi Putra Pratama Tbk.|119
2017-05-18|CNKO|Exploitasi Energi Indonesia Tbk.|50
2017-05-18|COWL|Cowell Development Tbk.|1210
2017-05-18|CPIN|Charoen Pokphand Indonesia Tbk|2990
2017-05-18|CPRO|Central Proteina Prima Tbk.|50
2017-05-18|CSAP|Catur Sentosa Adiprana Tbk.|472
2017-05-18|CSIS|Cahayasakti Investindo Sukses Tbk.|710
2017-05-18|CTRA|Ciputra Development Tbk.|1105
2017-05-18|CTTH|Citatah Tbk.|84
2017-05-18|DAJK|Dwi Aneka Jaya Kemasindo Tbk.|50
2017-05-18|DART|Duta Anggada Realty Tbk.|340
2017-05-18|DAYA|Duta Intidaya Tbk.|190
2017-05-18|DEFI|Danasupra Erapacific Tbk|690
2017-05-18|DEWA|Darma Henwa Tbk|52
2017-05-18|DGIK|Nusa Konstruksi Enjiniring Tbk.|116
2017-05-18|DILD|Intiland Development Tbk.|412
2017-05-18|DKFT|Central Omega Resources Tbk.|418
2017-05-18|DLTA|Delta Djakarta Tbk.|4880
2017-05-18|DMAS|Puradelta Lestari Tbk.|230
2017-05-18|DNAR|Bank Dinar Indonesia Tbk.|316
2017-05-18|DNET|Indoritel Makmur Internasional Tbk.|2440
2017-05-18|DOID|Delta Dunia Makmur Tbk.|840
2017-05-18|DPNS|Duta Pertiwi Nusantara Tbk.|400
2017-05-18|DPUM|Dua Putra Utama Makmur Tbk.|436
2017-05-18|DSFI|Dharma Samudera Fishing Industries Tbk.|128
2017-05-18|DSNG|Dharma Satya Nusantara Tbk.|498
2017-05-18|DVLA|Darya-Varia Laboratoria Tbk.|2100
2017-05-18|DYAN|Dyandra Media International Tbk.|57
2017-05-18|EKAD|Ekadharma International Tbk.|680
2017-05-18|ELSA|Elnusa Tbk.|310
2017-05-18|ELTY|Bakrieland Development Tbk.|50
2017-05-18|EMDE|Megapolitan Developments Tbk.|244
2017-05-18|EMTK|Elang Mahkota Teknologi Tbk.|11000
2017-05-18|ENRG|Energi Mega Persada Tbk.|50
2017-05-18|ERAA|Erajaya Swasembada Tbk.|680
2017-05-18|ERTX|Eratex Djaja Tbk.|149
2017-05-18|ESTI|Ever Shine Tex Tbk.|62
2017-05-18|EXCL|XL Axiata Tbk.|3120
2017-05-18|FAST|Fast Food Indonesia Tbk.|1495
2017-05-18|FASW|Fajar Surya Wisesa Tbk.|4480
2017-05-18|FISH|FKS Multi Agro Tbk.|3190
2017-05-18|FMII|Fortune Mate Indonesia Tbk|615
2017-05-18|FORU|Fortune Indonesia Tbk|222
2017-05-18|FORZ|Forza Land Indonesia Tbk.|740
2017-05-18|FORZ-W|Waran Seri I Forza Land Indonesia Tbk.|360
2017-05-18|FPNI|Lotte Chemical Titan Tbk.|290
2017-05-18|FREN|Smartfren Telecom Tbk.|50
2017-05-18|GAMA|Gading Development Tbk.|50
2017-05-18|GDST|Gunawan Dianjaya Steel Tbk.|91
2017-05-18|GEMA|Gema Grahasarana Tbk.|500
2017-05-18|GGRM|Gudang Garam Tbk.|69200
2017-05-18|GIAA|Garuda Indonesia (Persero) Tbk.|346
2017-05-18|GJTL|Gajah Tunggal Tbk.|1025
2017-05-18|GOLL|Golden Plantation Tbk.|107
2017-05-18|GOLL-W|Waran Seri I Golden Plantation Tbk.|8
