2017-02-09|AALI|Astra Agro Lestari Tbk.|15950
2017-02-09|ABBA|Mahaka Media Tbk.|52
2017-02-09|ACES|Ace Hardware Indonesia Tbk.|760
2017-02-09|ACST|Acset Indonusa Tbk.|2640
2017-02-09|ADES|Akasha Wira International Tbk.|1130
2017-02-09|ADHI|Adhi Karya (Persero) Tbk.|2010
2017-02-09|ADMF|Adira Dinamika Multi Finance Tbk.|7075
2017-02-09|ADMG|Polychem Indonesia Tbk|145
2017-02-09|ADRO|Adaro Energy Tbk.|1720
2017-02-09|AGII|Aneka Gas Industri Tbk.|1000
2017-02-09|AGRO|Bank Rakyat Indonesia Agroniaga Tbk.|615
2017-02-09|AGRO-W|Waran Seri II Bank Rakyat Indonesia Agro|456
2017-02-09|AGRS|Bank Agris Tbk.|100
2017-02-09|AHAP|Asuransi Harta Aman Pratama Tbk.|180
2017-02-09|AISA|Tiga Pilar Sejahtera Food Tbk.|1990
2017-02-09|AKKU|Anugerah Kagum Karya Utama Tbk.|95
2017-02-09|AKRA|AKR Corporindo Tbk.|6675
2017-02-09|ALKA|Alakasa Industrindo Tbk|165
2017-02-09|ALTO|Tri Banyan Tirta Tbk.|310
2017-02-09|AMAG|Asuransi Multi Artha Guna Tbk.|470
2017-02-09|AMIN|Ateliers Mecaniques D Indonesie Tbk.|324
2017-02-09|AMRT|Sumber Alfaria Trijaya Tbk.|555
2017-02-09|ANTM|Aneka Tambang (Persero) Tbk.|805
2017-02-09|APEX|Apexindo Pratama Duta Tbk.|1780
2017-02-09|APIC|Pacific Strategic Financial Tbk.|380
2017-02-09|APII|Arita Prima Indonesia Tbk.|260
2017-02-09|APLI|Asiaplast Industries Tbk.|103
2017-02-09|APLN|Agung Podomoro Land Tbk.|224
2017-02-09|ARII|Atlas Resources Tbk.|340
2017-02-09|ARNA|Arwana Citramulia Tbk.|464
2017-02-09|ARTA|Arthavest Tbk|240
2017-02-09|ARTI|Ratu Prabu Energi Tbk|58
2017-02-09|ARTO|Bank Artos Indonesia Tbk.|150
2017-02-09|ASBI|Asuransi Bintang Tbk.|290
2017-02-09|ASGR|Astra Graphia Tbk.|1735
2017-02-09|ASII|Astra International Tbk.|8050
2017-02-09|ASMI|Asuransi Kresna Mitra Tbk.|470
2017-02-09|ASRI|Alam Sutera Realty Tbk.|388
